radicado,magistrado,tipo
68001233300020180031701,ELLO PRESIDENTE,ACLARACION
68001233300020230039201,ELLO PRESIDENTE,SALVAMENTO
70001233300020250005701,SUBSECCION A,ACLARACION
76001233300020200148601,LUIS ANTONIO RODRIGUEZ MONTANO,SALVAMENTO
76001233300020230071302,ELLO PRESIDENTE,ACLARACION
76001233300020230071302,LUIS ANTONIO RODRIGUEZ MONTANO,ACLARACION
76001233300020250016601,ELLO PRESIDENTE,SALVAMENTO
76001233300020250016601,WILSON RAMOS GIRON CLAUDIA RODRIGUEZ VELASQUEZ,ACLARACION
76001233300020260043601,LUIS ALBERTO ALVAREZ PARRA,ACLARACION
76001233300020260045001,ENCIOSO ADMINISTRATIVO SECCION QUINTA ACLARACION DE VOTO,ACLARACION
76001233300220180067101,WILSON RAMOS GIRON CLAUDIA RODRIGUEZ VELASQUEZ,SALVAMENTO
